Country,CountryCode,Area (km2),Economic Status (World Bank),World Region,EnergyUse_2004 (kg oil equiv per capita),Year,Population,Births,Deaths,GDP ($US),MilitaryExpenditure_2005 (%GDP),Life Expectancy (male),Life Expectancy (female),Infant Deaths (male),Infant Deaths (female)
Ethiopia,ETH,1119683,Low income,Sub-Saharan Africa,302.7265124,2001,66308836,2731261,1054310,7887645696,3.048844388,46.9,49.3,155806,122591
Faroe Islands,FRO,1399,High income: nonOECD,Europe and Central Asia,,2001,45661,623,397, ,,75.1,82.1,2,2
Fiji,FJI,18270,Lower middle income,East Asia and Pacific,,2001,844330,19698,4855,1623517568,,65.8,70.8,156,121
Finland,FIN,304473,High income: OECD,Europe and Central Asia,7285.76069,2001,5180309,56206,48539,1.22E+11,1.214911211,74.5,81.5,114,91
France,FRA,640053,High income: OECD,Europe and Central Asia,4546.659083,2001,61514370,804608,540096,1.34E+12,2.485462717,75.7,83,1827,1399
French Polynesia,PYF,3660,High income: nonOECD,East Asia and Pacific,,2001,253608,4715,1093, ,,72.7,77.5,24,17
Gabon,GAB,257667,Upper middle income,Sub-Saharan Africa,1242.722951,2001,1268125,46680,14304,4712839680,1.334529284,55.2,58.9,1630,1096
Gambia,GMB,10000,Low income,Sub-Saharan Africa,,2001,1412663,59205,19043,417921824,0.343702573,50.7,54.4,2587,2088
Georgia,GEO,69700,Lower middle income,Europe and Central Asia,625.9433141,2001,4746164,46465,40959,3219487744,3.14087863,71.6,78.7,606,407
Germany,DEU,349223,High income: OECD,Europe and Central Asia,4217.787406,2001,82280551,738057,836793,1.89E+12,1.354231499,75.2,81.3,1802,1372
Ghana,GHA,230940,Low income,Sub-Saharan Africa,385.6088417,2001,20176859,673504,210445,5312751104,0.746560785,56.5,58.1,22625,18816
Greece,GRC,130800,High income: OECD,Europe and Central Asia,2754.717834,2001,10581515,102323,104969,1.19E+11,4.483997785,76,81.1,345,265
Greenland,GRL,410449,High income: nonOECD,Europe and Central Asia,,2001,56352,931,427, ,,64.8,72,9,8
Grenada,GRD,344,Upper middle income,Latin America and Caribbean,,2001,89227,2063,698,395344448,,62.7,66.3,14,16
Guam,GUM,541,High income: nonOECD,East Asia and Pacific,,2001,158330,3583,690, ,,72.8,80.8,23,11
Guatemala,GTM,108430,Lower middle income,Latin America and Caribbean,615.6264188,2001,11284350,366629,66239,20978063360,0.414328041,66.2,69.4,7395,5932
Guinea,GIN,245857,Low income,Sub-Saharan Africa,,2001,8713005,375008,141151,3039157504,,47.7,50.2,19499,16862
Guinea-Bissau,GNB,28000,Low income,Sub-Saharan Africa,,2001,1306455,51174,22406,199034144,,44.2,48.5,3251,2617
Guyana,GUY,196850,Lower middle income,Latin America and Caribbean,,2001,757092,14286,6564,696281472,,61.2,66.1,303,230
Haiti,HTI,27560,Low income,Latin America and Caribbean,262.2832728,2001,7598678,278644,95363,3662646784,,51.7,54.1,11183,9492
Honduras,HND,111890,Lower middle income,Latin America and Caribbean,547.5058124,2001,6513048,210827,33933,6327923200,0.637029614,67.6,70.9,3553,2612
Hong Kong,HKG,1042,High income: nonOECD,East Asia and Pacific,2487.577369,2001,6713376,48202,37125,1.67E+11,,78.4,84,81,64
Hungary,HUN,92340,Upper middle income,Europe and Central Asia,2607.574071,2001,10109467,97051,132232,53317046272,1.312566908,67.8,76.1,477,398
Iceland,ISL,100250,High income: OECD,Europe and Central Asia,11975.50881,2001,284812,4090,1726,7850930688,0,78.1,82.9,5,6
India,IND,2973190,Low income,South Asia,530.5545572,2001,1021967134,25968185,8185957,4.78E+11,2.872983219,62.4,66.4,786408,549915
Indonesia,IDN,1826440,Lower middle income,East Asia and Pacific,799.8713242,2001,216936604,4781283,1386225,1.60E+11,0.921233921,65.9,70.8,111810,77242
Iran,IRN,1636000,Lower middle income,Middle East and North Africa,2166.451867,2001,63750355,969643,347439,1.15E+11,4.464694043,67.5,70,22903,21633
Iraq,IRQ,432162,Lower middle income,Middle East and North Africa,1083.488176,2001,23331985,808220,144892,18936094720,,65.9,68,27340,21194
Ireland,IRL,68890,High income: OECD,Europe and Central Asia,3737.541324,2001,3835025,55071,31140,1.05E+11,0.568766648,74.1,79.6,184,138
Isle of Man,IMY,572,High income: nonOECD,Europe and Central Asia,,2001,73489,851,870,1614595328,,74.3,81.2,3,2
Israel,ISR,20330,High income: nonOECD,Middle East and North Africa,3048.871904,2001,5938093,113536,36935,1.14E+11,7.92497824,76.7,80.8,495,381
Italy,ITA,294020,High income: OECD,Europe and Central Asia,3170.761474,2001,57844924,541428,574400,1.12E+12,1.771540085,76.2,82.2,1983,1515
Jamaica,JAM,10831,Lower middle income,Latin America and Caribbean,1540.878123,2001,2640289,60542,16898,8218764288,0.714497526,71.7,75.1,574,503
Japan,JPN,374744,High income: OECD,East Asia and Pacific,4173.360049,2001,126971913,1194806,967526,4.09E+12,0.974068909,78.1,84.9,1993,1615
Jordan,JOR,91971,Lower middle income,Middle East and North Africa,1232.325142,2001,5153378,131102,13502,8975453184,7.667088507,75.1,80.1,1640,1029
Kazakhstan,KAZ,2669800,Upper middle income,Europe and Central Asia,3651.46636,2001,15052250,224279,151125,22152689664,1.064093351,59.2,70.3,4583,3247
Kenya,KEN,569250,Low income,Sub-Saharan Africa,505.5676836,2001,31298701,1218771,399684,12983478272,1.422740544,51.4,51.6,41789,41209
Kiribati,KIR,811,Lower middle income,East Asia and Pacific,,2001,94149,3011,836,48522808,,57.2,63.2,92,71
North Korea,PRK,120410,Low income,East Asia and Pacific,910.1681504,2001,21940326,437710,149633, ,,67.5,73,6562,5427
South Korea,KOR,98190,High income: OECD,East Asia and Pacific,4430.85308,2001,47697738,557110,251367,4.82E+11,2.569103821,72.6,79.8,2074,1703
Kuwait,KWT,17820,High income: nonOECD,Middle East and North Africa,10211.69119,2001,2041961,44739,5003,34890772480,5.740206947,75.4,77.2,278,222
Kyrgyz Republic,KGZ,191300,Low income,Europe and Central Asia,545.868463,2001,4901329,104692,36172,1525113472,,62.9,71,2484,1764
Laos,LAO,230800,Low income,East Asia and Pacific,,2001,5636273,213277,73328,1753462784,,51.6,55.5,11191,8603
Latvia,LVA,63589,Upper middle income,Europe and Central Asia,1988.074025,2001,2358232,19668,32992,8313047552,1.692554602,64.4,75.5,113,101
Lebanon,LBN,10230,Upper middle income,Middle East and North Africa,1361.197571,2001,3630599,73120,23018,17211940864,,69.1,74,1187,920
Lesotho,LSO,30355,Lower middle income,Sub-Saharan Africa,,2001,2085091,58487,41869,752154752,2.345892373,41.7,43.6,2811,2403
Liberia,LBR,96320,Low income,Sub-Saharan Africa,,2001,2759347,129331,69149,543000000,,35.7,40.7,12576,9979
Libya,LBY,1759540,Upper middle income,Middle East and North Africa,3169.430475,2001,5240599,145007,18395,29993719808,,73.5,77.9,2333,1871
Liechtenstein,LIE,160,High income: nonOECD,Europe and Central Asia,,2001,32528,375,218, ,,75.3,82.6,1,1
Lithuania,LTU,65200,Upper middle income,Europe and Central Asia,2665.921866,2001,3645747,31536,40395,12146150400,1.797750379,66.8,78.4,151,89
Luxembourg,LUX,2586,High income: OECD,Europe and Central Asia,10480.99142,2001,444779,5698,3790,20198926336,0.931985169,74.9,81.5,15,14
Macau,MAC,28,High income: nonOECD,East Asia and Pacific,,2001,434044,3238,1688,5952984064,,79,84.7,7,7
Macedonia,MKD,24856,Lower middle income,Europe and Central Asia,1327.75767,2001,2023912,27019,16798,3436961280,2.204231884,70.9,76,184,123
Madagascar,MDG,581540,Low income,Sub-Saharan Africa,,2001,16226824,650047,158212,4529468928,,58.1,61.6,23584,19326
Malawi,MWI,94080,Low income,Sub-Saharan Africa,,2001,11833124,523142,248614,1716502784,,40.6,39.7,28420,25511
Malaysia,MYS,328550,Upper middle income,East Asia and Pacific,2279.018461,2001,22229040,550169,115591,88001052672,1.897871517,68.5,73.9,6666,4508
Maldives,MDV,300,Lower middle income,South Asia,,2001,310764,11856,2514,625065344,,61.4,63.8,383,372
Mali,MLI,1220000,Low income,Sub-Saharan Africa,,2001,10294195,526651,192604,2629733632,1.858214058,45.2,48.7,33878,27640
Malta,MLT,316,High income: nonOECD,Middle East and North Africa,2262.646399,2001,391873,3934,3029,3860697600,0.732759056,75.9,80.5,9,7
Marshall Islands,MHL,181,Lower middle income,East Asia and Pacific,,2001,54007,1866,278,116549000,,66.9,70.7,36,27
Mauritania,MRT,1030400,Low income,Sub-Saharan Africa,,2001,2747312,117997,37501,1121565568,0.973023031,49.1,53.3,4763,4287
Mauritius,MUS,2030,Upper middle income,Sub-Saharan Africa,,2001,1189825,19632,8115,4538528768,0.199426554,67.3,75.3,200,137
Mayotte,MYT,374,Upper middle income,Sub-Saharan Africa,,2001,163360,7253,1447, ,,57.8,62,281,226
Mexico,MEX,1923040,Upper middle income,Latin America and Caribbean,1621.512914,2001,101246961,2301343,481936,6.22E+11,0.390117136,71.4,77,30786,24883
Micronesia,FSM,702,Lower middle income,East Asia and Pacific,,2001,107940,3005,583,220900000,,66.8,70.2,58,46
Moldova,MDA,33371,Lower middle income,Europe and Central Asia,862.1282645,2001,4378373,42383,48381,1480656896,0.306221181,64.7,72.2,391,307
Monaco,MCO,2,High income: nonOECD,Europe and Central Asia,,2001,31842,310,414, ,,75,83.1,1,1
Mongolia,MNG,1564116,Low income,East Asia and Pacific,,2001,2704470,59282,18147,1013141760,,62.6,67.2,1685,1392
Montenegro,MNE,13812,Upper middle income,Europe and Central Asia,,2001,726462,8841,5434,1114842880,,73.8,78.9,73,55
Morocco,MAR,446300,Lower middle income,Middle East and North Africa,383.7972928,2001,30645305,740391,182033,33901131776,4.284340751,67.2,71.8,19714,15906
Mozambique,MOZ,784090,Low income,Sub-Saharan Africa,441.2600546,2001,18559164,778557,350954,3697175808,1.317419961,43.2,44.5,48907,45579
Namibia,NAM,825418,Lower middle income,Sub-Saharan Africa,665.4220901,2001,1947326,57582,27555, ,3.019146278,48.7,51,1636,1323
Nepal,NPL,143181,Low income,South Asia,340.5264965,2001,25284463,844501,258407,5563785216,1.969962486,58.6,57.8,31361,31250
Netherlands,NLD,33883,High income: OECD,Europe and Central Asia,5045.347545,2001,16017445,195893,140313,4.01E+11,1.585309276,75.9,80.8,592,452
Netherlands Antilles,ANT,960,High income: nonOECD,Latin America and Caribbean,9498.534859,2001,212287,3513,1344, ,,72.8,77.2,23,18
New Caledonia,NCL,18575,High income: nonOECD,East Asia and Pacific,,2001,204863,4173,1151, ,,70.1,76.1,19,16
New Zealand,NZL,268021,High income: OECD,East Asia and Pacific,4344.314768,2001,3864129,55180,29213,52494827520,1.006914923,75,81.1,204,143
Nicaragua,NIC,120254,Lower middle income,Latin America and Caribbean,643.392981,2001,5039717,137584,23838,4102657024,0.687667478,67.1,71.1,2624,1984
Niger,NER,1266700,Low income,Sub-Saharan Africa,,2001,10823004,559982,240162,1945323520,,42.5,42.4,36323,33764
Nigeria,NGA,910768,Low income,Sub-Saharan Africa,717.3059493,2001,117074880,4848071,2086274,47999774720,0.878368411,45.4,46.6,276285,234168
Northern Mariana Islands,MNP,477,Upper middle income,East Asia and Pacific,,2001,71868,1434,150, ,,75.6,75,6,6
Norway,NOR,307442,High income: OECD,Europe and Central Asia,6023.802524,2001,4515195,56711,43978,1.70E+11,1.646461036,76.2,81.5,123,95
Oman,OMN,212460,Upper middle income,Middle East and North Africa,4667.218924,2001,2622198,99539,10751,19949285376,,69.9,74.3,1311,931
Pakistan,PAK,778720,Low income,South Asia,489.0857705,2001,147648229,4711455,1379034,71498694656,3.341719415,60.5,62.1,197609,185055
Palau,PLW,458,Upper middle income,East Asia and Pacific,,2001,19092,375,138,124656000,,65.8,72.2,3,3
Panama,PAN,75990,Upper middle income,Latin America and Caribbean,801.1705152,2001,2941167,67470,14823,11807500288,,72.5,78,685,550
Papua New Guinea,PNG,452860,Low income,East Asia and Pacific,,2001,5049055,162327,39787,3067843072,0.533933118,61.4,65.6,5214,4235
Paraguay,PRY,397300,Lower middle income,Latin America and Caribbean,694.3571531,2001,5739844,177074,27896,6445765120,0.753255582,71.5,76.5,3395,2372
Peru,PER,1280000,Lower middle income,Latin America and Caribbean,478.8408959,2001,26376033,594780,169862,53933973504,1.249968989,66.6,70,11839,9674
Philippines,PHL,298170,Lower middle income,East Asia and Pacific,542.3868432,2001,81369751,2217326,468690,71215636480,0.815543553,65.8,71.6,33544,25282
Poland,POL,304465,Upper middle income,Europe and Central Asia,2402.742639,2001,38643641,368274,363250,1.90E+11,1.788377144,70.3,78.4,1538,1224
Portugal,PRT,91951,High income: OECD,Europe and Central Asia,2528.003209,2001,10386753,112800,105633,1.16E+11,2.146607082,73.4,80.3,324,228
Puerto Rico,PRI,8870,High income: nonOECD,Latin America and Caribbean,,2001,3839190,55975,28794,67897098240,,72.9,81.4,286,214
Qatar,QAT,11437,High income: nonOECD,Middle East and North Africa,23246.44501,2001,769152,12237,3277,17538461696,,70.2,75.2,158,104
Romania,ROM,230340,Upper middle income,Europe and Central Asia,1778.427781,2001,22428044,238410,259268,40180744192,2.107639009,66.9,74.1,4050,3057
Russia,RUS,16995800,Upper middle income,Europe and Central Asia,4459.742085,2001,145990308,1310993,2259930,3.07E+11,3.740991038,59,72.6,11591,8100
Rwanda,RWA,24948,Low income,Sub-Saharan Africa,,2001,8467241,341314,151818,1702739968,2.171725518,43.5,44.7,17652,15544
Samoa,WSM,2934,Lower middle income,East Asia and Pacific,,2001,199068,5648,1214,239756176,,66.8,72.4,107,71
San Marino,SMR,61,High income: nonOECD,Europe and Central Asia,,2001,27336,294,210,831330368,,77.7,85.1,1,1
Sao Tome and Principe,STP,1001,Low income,Sub-Saharan Africa,,2001,165034,7054,1244,76460456,,64.2,67.1,182,163
Saudi Arabia,SAU,2149690,High income: nonOECD,Middle East and North Africa,6232.450109,2001,23832849,717845,67447,1.83E+11,8.197012629,72.6,76.5,6395,4509
Senegal,SEN,192000,Low income,Sub-Saharan Africa,241.6143528,2001,10616801,417028,128357,4560098304,1.506590207,53.3,55.9,15285,13073
Serbia,SRB,88361,Upper middle income,Europe and Central Asia,,2001,10131896,122596,109424,11715688448,,71,75.8,1064,804
Seychelles,SYC,455,Upper middle income,Sub-Saharan Africa,,2001,79715,1408,530,11576351744,1.736285802,65.2,76.4,15,9
Sierra Leone,SLE,71620,Low income,Sub-Saharan Africa,,2001,5080682,242501,123918,805663744,1.116185961,36.9,41.4,22683,17960
Singapore,SGP,683,High income: nonOECD,East Asia and Pacific,6034.007028,2001,4120228,41449,15368,85484101632,4.68474885,78.7,84,54,40
Slovakia,SVK,48800,Upper middle income,Europe and Central Asia,3406.627418,2001,5404681,55506,52317,21109788672,1.736758967,69.2,77.4,273,186
Slovenia,SVN,20151,High income: nonOECD,Europe and Central Asia,3590.886492,2001,2011179,17477,20051,19771678720,1.665939881,71.5,79.4,48,33
Solomon Islands,SLB,27540,Low income,East Asia and Pacific,,2001,480442,16359,2051,274157664,,69.1,74.1,232,168
Somalia,SOM,627337,Low income,Sub-Saharan Africa,,2001,7488773,353695,137419, ,,45,48.2,23928,19920
South Africa,ZAF,1219912,Upper middle income,Sub-Saharan Africa,2828.641912,2001,44296012,930659,726455,1.18E+11,1.409596374,46.8,50.6,32076,27440
Spain,ESP,499542,High income: OECD,Europe and Central Asia,3330.932395,2001,40087104,399668,374414,6.08E+11,1.031711007,75.6,82.5,1047,819
Sri Lanka,LKA,64740,Lower middle income,South Asia,484.9964032,2001,19646267,358741,112573,15745700864,2.654091428,71.7,75.5,4494,3649
St. Kitts and Nevis,KNA,261,Upper middle income,Latin America and Caribbean,,2001,38756,728,357,342418528,,68.2,74,7,5
St. Lucia,LCA,606,Upper middle income,Latin America and Caribbean,,2001,158178,3448,848,664396288,,69,76.4,29,23
St. Vincent and the Grenadines,VCT,389,Upper middle income,Latin America and Caribbean,,2001,115942,2077,714,345555552,,70.8,74.3,19,15
Sudan,SDN,2376000,Low income,Sub-Saharan Africa,496.5235469,2001,35063397,1338370,447409,13362328576,,51.6,53.1,59034,56441
Suriname,SUR,161470,Lower middle income,Latin America and Caribbean,,2001,438509,9511,2473,763465600,,69,74.4,142,92
Swaziland,SWZ,17203,Lower middle income,Sub-Saharan Africa,,2001,1121699,34750,24498,1259856000,,36.5,41.5,1391,1228
Sweden,SWE,410934,High income: OECD,Europe and Central Asia,5998.335853,2001,8939915,91455,93780,2.22E+11,1.556828724,77.7,82.3,169,124
Switzerland,CHE,39770,High income: OECD,Europe and Central Asia,3671.791364,2001,7311237,73478,61268,2.50E+11,0.964936213,77.3,83,191,143
Syria,SYR,184050,Lower middle income,Middle East and North Africa,992.511524,2001,16728808,512571,87157,21099833344,,67.6,70,8978,8347
Tajikistan,TJK,142700,Low income,Europe and Central Asia,515.6650061,2001,6339104,175910,53312,1103752832,,58.3,64.5,5526,4165
Tanzania,TZA,886037,Low income,Sub-Saharan Africa,499.8666418,2001,34567246,1403085,558952,9440939008,1.030188988,45.7,47.5,62924,50024
Thailand,THA,511770,Lower middle income,East Asia and Pacific,1524.029212,2001,62334375,903225,423874,1.16E+11,1.145243954,68.2,73.4,11233,9523
Togo,TGO,54385,Low income,Sub-Saharan Africa,448.8693102,2001,4843185,182782,50563,1328031232,1.575856347,53.8,58.5,7116,5452
Tonga,TON,718,Lower middle income,East Asia and Pacific,,2001,104227,2459,598,129893576,,65.8,70.8,20,15
Trinidad and Tobago,TTO,5128,High income: nonOECD,Latin America and Caribbean,8675.124317,2001,1110217,14133,10447,8824857600,,65.5,68.8,220,183
Tunisia,TUN,155360,Lower middle income,Middle East and North Africa,876.2232693,2001,9667365,157965,48047,19988391936,1.490499206,72.4,75.6,2619,1953
Turkey,TUR,770760,Upper middle income,Europe and Central Asia,1151.163567,2001,66493970,1217505,395639,1.45E+11,3.225682441,68.9,73.7,31899,25738
Turkmenistan,TKM,488100,Lower middle income,Europe and Central Asia,3264.786113,2001,4603215,128200,31256,3534673920,,63.3,69.7,4609,3684
Uganda,UGA,199710,Low income,Sub-Saharan Africa,,2001,24690002,1186108,406397,5681242624,,45.3,45.2,47480,42807
Ukraine,UKR,603700,Lower middle income,Europe and Central Asia,2958.052911,2001,48507924,376421,746052,38009344000,2.355862001,62.6,73.9,2470,1784
United Arab Emirates,ARE,83600,High income: nonOECD,Middle East and North Africa,10141.89815,2001,3387327,56128,7926,69546090496,1.92702949,71.9,76.9,554,372
United Kingdom,GBR,241590,High income: OECD,Europe and Central Asia,3905.602639,2001,59723243,672484,611566,1.43E+12,2.592997526,75.5,80.4,2080,1551
United States,USA,9161923,High income: OECD,North America,7920.46381,2001,285023886,4050189,2468307,1.01E+13,4.083991401,73.8,79.4,16067,12365
Uruguay,URY,173620,Upper middle income,Latin America and Caribbean,867.1206506,2001,3348016,53401,31773,18560806912,1.384048371,71.3,78,439,333
Uzbekistan,UZB,425400,Low income,Europe and Central Asia,2087.580969,2001,25155064,656547,201241,11401351168,,60.2,67.6,25481,21738
Vanuatu,VUT,12200,Lower middle income,East Asia and Pacific,,2001,192910,4900,1617,234701072,,59.6,62.4,160,139
